"Name","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Tesla","214.11","214.57","207.03","7.83","3.80%","63.37M","30/08"
"NVIDIA","119.37","121.75","117.22","1.78","1.51%","333.75M","30/08"
"Intel","22.04","22.12","21.00","1.91","9.49%","177.79M","30/08"
"Apple","229.00","230.40","227.48","-0.79","-0.34%","52.99M","30/08"
"Amazon.com","178.50","178.90","172.60","6.38","3.71%","43.43M","30/08"
"Microsoft","417.14","417.49","412.13","4.02","0.97%","24.31M","30/08"
"Nio A ADR","4.040","4.205","4.000","0.100","2.54%","65.99M","30/08"
"GameStop Corp","23.42","23.48","21.73","1.91","8.88%","15.68M","30/08"
"Broadcom","162.82","163.24","158.71","5.89","3.75%","25.16M","30/08"
"Palantir","31.48","31.50","30.70","0.48","1.55%","42.39M","30/08"
"Alibaba ADR","83.34","84.75","82.58","2.32","2.86%","20.03M","30/08"
"AMD","148.56","148.99","145.25","3.07","2.11%","31.17M","30/08"
"Super Micro Computer","437.70","459.30","419.55","-11.12","-2.48%","10.93M","30/08"
"Meta Platforms","521.31","523.54","515.20","3.09","0.60%","9.16M","30/08"
"Nu Holdings","14.97","15.06","14.27","0.74","5.20%","561.76M","30/08"
"Alphabet A","163.38","163.66","161.69","1.60","0.99%","22.12M","30/08"
"Taiwan Semiconductor","171.70","172.23","168.75","2.55","1.51%","9.48M","30/08"
"Marvell","76.24","79.00","72.71","6.40","9.16%","32.03M","30/08"
"PDD Holdings DRC","96.11","97.13","93.90","2.69","2.88%","32.97M","30/08"
"Nike","83.32","83.88","82.05","0.06","0.07%","13.76M","30/08"
"Berkshire Hathaway B","475.92","476.95","470.00","7.55","1.61%","7.47M","30/08"
"Bank of America","40.75","40.86","40.13","0.58","1.44%","49.1M","30/08"
"Lucid Group","4.020","4.080","3.950","0.060","1.52%","30.26M","30/08"
"Eli Lilly","960.02","961.00","940.51","19.82","2.11%","2.56M","30/08"
"Micron","96.24","98.41","94.99","0.67","0.70%","18.82M","30/08"
"Walt Disney","90.38","90.45","89.40","0.57","0.63%","8.4M","30/08"
"CrowdStrike Holdings","277.28","284.11","273.35","5.61","2.07%","6.62M","30/08"
"Netflix","701.35","701.86","688.16","8.87","1.28%","3.27M","30/08"
"Dick’s Sporting Goods","236.96","237.36","232.05","1.90","0.81%","1.09M","30/08"
"Zscaler","199.98","200.41","197.57","2.73","1.38%","1.43M","30/08"
