Provinsi,TipeFaskes,KodeFaskes,NamaFaskes,AlamatFaskes,TelpFaskes
Nanggroe Aceh Darussalam,Rumah Sakit,0001R001,RSU Cut Nyak Dhien                                            ,Jl. Tm Bahrum No. 1 Langsa, 0641-0621039
Nanggroe Aceh Darussalam,Puskesmas,10001,Langsa Lama                                            ,Gampong Meurandeh Dayah, 0641-064121218
Nanggroe Aceh Darussalam,Klinik Utama,0001U011,dr. Hj. Sri Hariaty                                            ,Jalan Panglima Polem No 64, 0811-6708681
Nanggroe Aceh Darussalam,Klinik Pratama,10002,Polkes Im.09.02 Langsa                                            ,Jl. Cut Nyak Dien No. 21A, 0813-081362667
Nanggroe Aceh Darussalam,Apotek,0001A001,Apotek Anggrek                                            ,Jl. A Yani No.13 Langsa, 0811-6811633
Nanggroe Aceh Darussalam,Rumah Sakit,0002R001,RSUD Gayo Lues                                            ,Jl. Pangur-Sangir, 0642-21633
Nanggroe Aceh Darussalam,Puskesmas,20602,Pintu Rime Uring                                            ,Pintu Rime,85296705897
Nanggroe Aceh Darussalam,Dokter Praktik Perorangan,0002S001,Klinik Utama Tanoh Gayo                                            ,Jl. Besar Kuta Cane No 69,82273855050
Nanggroe Aceh Darussalam,Klinik Utama,0002U001,dr. Eka Puspita Sari                                            ,Jl.Kutalintang No.162,8114710817
Nanggroe Aceh Darussalam,Klinik Pratama,20001,Poskes Gayo Lues                                            ,Jl. Mayor Bahrin ,85296660745
Nanggroe Aceh Darussalam,Apotek,0002A004,Apotek Berkah Galus                                            ,Jln Kute Lintang No 162,82367366662
Nanggroe Aceh Darussalam,Rumah Sakit,0110R001,RSUD Dr.H.Yuliddin Away                                            ,Jln. T. Ben Mahmud No. 86A, 0656-21013
Nanggroe Aceh Darussalam,Puskesmas,30002,Kampong Paya                                            ,Desa Kampong Paya,85277360582
Nanggroe Aceh Darussalam,Dokter Praktik Perorangan,0003S001,Klinik Utama Cahaya Sehat                                            ,Jln. Panglima Raja Lelo No. 10,8115778245
Nanggroe Aceh Darussalam,Klinik Utama,0003U006,Dr.ZULFANSYAH                                            ,Jl. T.Ben Mahmud No 06,81362907772
Nanggroe Aceh Darussalam,Klinik Pratama,30029,POSKES IM 10.05 Asel                                            ,Jl. Cut Nyak Dhien,82360870452
Nanggroe Aceh Darussalam,Apotek,0003A009,IF RSUD dr. H. Yuliddin Away                                            ,T. Ben Mahmud No. 86A   , 0656-21818
Nanggroe Aceh Darussalam,Rumah Sakit,0004R001,RSU Nurul Hasanah                                            ,A.Yani No. 23 Pulo Kemiri , 0629-522561
Nanggroe Aceh Darussalam,Puskesmas,40001,Tanoh Alas                                            ,Jl Ngkeran Salim Pipit,8227111888
Nanggroe Aceh Darussalam,Klinik Utama,0004U006,dr. Ade Eka Kustiana                                            ,Jalan Medan Kutacane, 0852-43009095
Nanggroe Aceh Darussalam,Klinik Pratama,40006,Poskes Tni 10.02 Kutacane                                            ,Jl. Cut Nyak Dhien,85260984244
Nanggroe Aceh Darussalam,Apotek,0004A004,IFRS Nurul Hasanah                                    ,Jln. A yani,81263203020
Nanggroe Aceh Darussalam,Rumah Sakit,0005R003,RSUD dr. Zubir Mahmud                                            ,Jalan Banda Aceh - Medan Km.37, 0646-21139
Nanggroe Aceh Darussalam,Puskesmas,50001,Peureulak Barat                                            ,"Jln Medan B.Aceh , Km 385",82165577920
Nanggroe Aceh Darussalam,Klinik Utama,0005U021,Dr Yusmardiati                                            ,Kede Jurung Nurussalam,85261313956
Nanggroe Aceh Darussalam,Klinik Pratama,50007,Paurkes Polres Aceh Timur                                            ,Banda Aceh Medan No. 1, 0852-97438419
Nanggroe Aceh Darussalam,Apotek,0005A006,Apotek Mitra Medika                                            ,Medan-Banda Aceh, 0646-7020817
